    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
     -0.9688468807,      0.8598231027,       1.860777926,       4.426121647,       2.040990181,       2.980174661
      -1.622019277,      0.6423964279,      0.8979166193,       3.848565829,       2.055324349,       3.048580567
      -1.493519875,      0.0263943069,      0.9118725583,       3.958090347,         2.2268174,       3.000053519
        -1.3228349,      0.3676995498,        1.79648782,        4.05914385,       2.168983474,       3.200475593
      -1.094003312,       1.122675509,       1.551904177,       4.353963066,        2.18900084,       3.196645969
      -1.351355903,      0.8590613348,       1.805464786,       3.991638191,        2.00781581,        3.04917398
      -1.191367991,       1.105158937,       1.494078097,       4.271456158,       2.056788932,         3.1262522
      -1.346411292,      0.3931394697,        1.70400596,       3.966888841,       1.946209016,       2.938233876
      -1.323046137,      0.9430572529,       1.269709864,       4.136005262,       2.042827311,       3.034298309
      -1.210532293,       0.615668502,       1.562934139,       4.190132598,       1.729732453,       2.814995643
      -1.401652416,      0.7431256833,        1.09711851,       4.047111647,       2.112755676,       3.107695095
      -1.318351214,      0.4960923929,       1.688426391,       4.119361991,       2.235528199,        3.25009933
      -1.141691976,       1.019527598,       1.762418082,       4.274847567,       2.466534802,       3.364259241
      -1.319891925,       1.097511712,       1.688382771,       4.235136117,       2.430349795,       3.298430735
      -1.186919297,      0.9302534532,       1.874678534,       4.274973385,       2.583323672,       3.431822439
      -1.258475642,       1.259995629,       1.668078639,       4.304132673,       2.452184077,       3.370706187
       -1.30836691,      0.8800783757,       1.932781147,       4.159248781,       2.505932701,       3.400270397
      -1.168300454,       1.268116586,       1.649130953,       4.328248871,        2.73432408,       3.679697233
      -1.072512307,      0.5938630567,       2.113537483,       4.213846142,       2.332755601,       3.178509958
      -1.158615247,       1.186084805,       1.380871446,       4.305183352,        2.38460153,       3.147235442
      -1.420485794,      0.7105239426,       1.230713552,       4.051686643,       2.134368469,       2.945896584
      -1.507361963,      0.7945843481,      0.9457721625,       3.858687682,       2.218308629,       3.082005389
      -1.524663448,      0.3175053073,       1.673959899,       3.868320037,        1.98834431,       3.205232412
      -1.101322087,       1.097819839,       1.654546898,       4.371368187,       2.369635249,       3.321557361
      -1.228797484,      0.8759299809,       1.901851453,       4.177011108,       2.282701302,       3.164544452
      -1.323799125,      0.8853922616,       1.622840352,       4.182534481,       2.393881528,       3.253016989
      -1.189699091,       0.886795914,       1.933610371,       4.197626154,       2.462509339,       3.283821933
      -1.224044213,      0.9794546684,       1.462896758,       4.226050256,       2.384886009,       3.374433827
     -0.9741438293,      0.9598165297,       1.798951646,       4.419897906,       2.245968896,       3.064255302
      -1.294034395,      0.8160609114,       1.455184911,       4.118385944,       2.508752491,       3.418254977
     -0.9919818374,      0.8384355564,       1.989420266,       4.441995491,       2.544903661,       3.435396102
      -1.002527124,      0.9271108455,       1.830780596,       4.372248535,       2.909443433,       3.807362486
     -0.7590018389,      0.8529495926,       2.133590934,        4.70242142,        2.62517231,       3.339950075
      -1.163760505,       1.192358732,       1.944112626,       4.314789563,       3.030043973,        3.86638548
     -0.8556196888,       1.055625022,       2.067075291,       4.621428488,       2.749568092,       3.530495876
      -1.082895516,      0.9858498744,       2.072676944,       4.361139636,       2.978657846,       3.775872251
